time,acc,light,moderate-vigorous,sedentary,sleep,CpSB,CpLPA,CpMPA,CpVPA,CpMVPA,MET
2025-01-01 00:00:00.000+0000 [UTC],15.889,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:00:30.000+0000 [UTC],7.562,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:01:00.000+0000 [UTC],41.365,1,0,0,0,0,1,0,0,0,2.563772
2025-01-01 00:01:30.000+0000 [UTC],8.323,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:02:00.000+0000 [UTC],16.901,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:02:30.000+0000 [UTC],18.053,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:03:00.000+0000 [UTC],17.799,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:03:30.000+0000 [UTC],5.136,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:04:00.000+0000 [UTC],36.347,1,0,0,0,0,1,0,0,0,2.808096
2025-01-01 00:04:30.000+0000 [UTC],41.847,1,0,0,0,0,1,0,0,0,2.83177
2025-01-01 00:05:00.000+0000 [UTC],20.404,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:05:30.000+0000 [UTC],6.706,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:06:00.000+0000 [UTC],154.459,0,1,0,0,0,0,0,0,0,4.202518
2025-01-01 00:06:30.000+0000 [UTC],19.17,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:07:00.000+0000 [UTC],17.296,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:07:30.000+0000 [UTC],14.649,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:08:00.000+0000 [UTC],6.695,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:08:30.000+0000 [UTC],17.148,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:09:00.000+0000 [UTC],16.038,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:09:30.000+0000 [UTC],16.358,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:10:00.000+0000 [UTC],26.529,1,0,0,0,0,1,0,0,0,2.330816
2025-01-01 00:10:30.000+0000 [UTC],8.616,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:11:00.000+0000 [UTC],9.595,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:11:30.000+0000 [UTC],20.266,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:12:00.000+0000 [UTC],14.802,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:12:30.000+0000 [UTC],30.284,1,0,0,0,0,1,0,0,0,2.255135
2025-01-01 00:13:00.000+0000 [UTC],18.408,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:13:30.000+0000 [UTC],15.142,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:14:00.000+0000 [UTC],15.149,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:14:30.000+0000 [UTC],19.691,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:15:00.000+0000 [UTC],52.004,1,0,0,0,0,1,0,0,0,2.523443
2025-01-01 00:15:30.000+0000 [UTC],12.42,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:16:00.000+0000 [UTC],15.481,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:16:30.000+0000 [UTC],5.969,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:17:00.000+0000 [UTC],3.307,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:17:30.000+0000 [UTC],89.525,0,1,0,0,0,0,1,0,1,5.811984
2025-01-01 00:18:00.000+0000 [UTC],12.689,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:18:30.000+0000 [UTC],12.828,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:19:00.000+0000 [UTC],33.431,1,0,0,0,0,1,0,0,0,2.758491
2025-01-01 00:19:30.000+0000 [UTC],13.454,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:20:00.000+0000 [UTC],16.111,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:20:30.000+0000 [UTC],12.606,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:21:00.000+0000 [UTC],21.279,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:21:30.000+0000 [UTC],3.713,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:22:00.000+0000 [UTC],10.527,0,0,1,0,1,0,0,0,0,1.563492
