Feature,Importance_Mean,Importance_Std
feature1,0.42602,0.341008
feature2,0.255257,0.322049
feature3,0.253293,0.321021
feature4,0.252506,0.320255
feature5,0.252208,0.320642
feature6,0.252174,0.320957
feature7,0.251934,0.322601
feature8,0.251394,0.320523
feature9,0.251033,0.320715
feature10,0.250982,0.320081
feature11,0.250909,0.320324
feature12,0.250853,0.320191
feature13,0.250851,0.320356
feature14,0.250771,0.32034
feature15,0.250754,0.320494
feature16,0.250753,0.320658
feature17,0.250733,0.320131
feature18,0.250616,0.321548
feature19,0.250564,0.320272
feature20,0.250551,0.320144
